,Date,Origin ID,Origin Name,Destination ID,Destination Name,Daily Mean Travel Time,Daily Range - Lower,Daily Range - Upper,AM Mean Travel Time,AM Range - Lower,AM Range - Upper,PM Mean Travel Time,PM Range - Lower Bound Travel Time,PM Range - Upper Bound Travel Time,Midday Mean Travel Time,Midday Range - Lower,Midday Range - Upper,Evening Mean Travel Time,Evening Range - Lower,Evening Range - Upper,Early Morning Mean Travel Time,Early Morning Range - Lower,Early Morning Range - Upper,weekday,pred_daily_mean,month
1041,2019-06-08,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street, San Francisco, CA",1617.0,1272.0,2056.0,1047.0,931.0,1176.0,1611.0,1341.0,1937.0,1699.0,1398.0,2065.0,1562.0,1131.0,2158.0,1495.033149171264,1040.6174033149164,1980.0414364640856,5,1413.4051080914521,7
1042,2019-04-12,3692,"2nd Street and Stevenson Street, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",491.0,320.0,754.0,478.0,325.0,704.0,548.0,387.0,777.0,531.0,329.0,859.0,429.0,280.0,658.0,428.0,264.0,694.0,4,590.6742994412964,5
1043,2019-06-30,3692,"2nd Street and Stevenson Street, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1231.0,996.0,1510.0,1151.0,954.5,1388.0,1438.0,1160.5,1784.0,1288.0,1085.0,1596.0,1064.812154696132,856.906077348066,1323.906077348066,724.0,552.0,931.0,6,1150.264295466347,7
1044,2019-06-17,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street, San Francisco, CA",1422.0,1173.0,1723.0,1442.0,1187.0,1752.0,1560.0,1276.0,1875.5,1419.0,1180.0,1707.0,1285.8360957642726,1031.3443830570905,1565.0,1006.5,849.5,1193.0,0,1405.0966152736094,7
1045,2019-06-28,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street, San Francisco, CA",1403.0,1100.0,1791.0,1302.0,1092.0,1552.0,1768.0,1488.0,2102.0,1304.0,1043.0,1631.0,1409.0,1159.0,1704.0,846.2412523020266,634.8275015346844,1169.6206261510133,4,1444.390589043663,7
1046,2019-04-08,3692,"2nd Street and Stevenson Street, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1531.0,1126.0,2083.0,1516.0,1238.0,2013.0,1676.0,1290.0,2177.0,1180.0,1013.0,1447.0,1355.0,895.0,2052.0,1160.0,1009.0,1457.0,0,1196.9078403234184,5
1047,2019-06-07,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street, San Francisco, CA",581.0,384.0,878.0,537.0,388.0,742.0,804.0,545.0,1185.0,553.0,404.0,756.0,497.0,335.0,736.0,460.0,329.0,643.0,4,689.9779457611538,7
1048,2019-04-09,3692,"2nd Street and Stevenson Street, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1271.0,996.0,1622.0,1151.0,931.0,1493.119091467158,1297.0,1023.0,1644.0,1137.0,846.0,1528.0,1339.0,1134.0,1581.0,734.0,563.0,952.0,1,1212.584492338659,5
1049,2019-04-17,3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",3692,"2nd Street and Stevenson Street, San Francisco, CA",1049.0,747.0,1472.0,1123.0,815.0,1547.0,1526.0,1129.0,2063.0,1170.0,966.0,1417.0,846.0,655.0,1094.0,724.0,553.0,926.0,2,964.3080229722084,5
1050,2019-05-19,3692,"2nd Street and Stevenson Street, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1083.0,935.0,1255.0,1151.0,954.5,1388.0,1438.0,1160.5,1784.0,1103.0,942.0,1290.0,907.0,718.0,1158.0,661.0,510.0,846.0,6,1140.891822621044,6
