,0
2019-01-01,986.0
2019-01-02,878.8333333333334
2019-01-03,918.1111111111111
2019-01-04,894.0555555555555
2019-01-05,857.0555555555555
2019-01-06,870.0
2019-01-07,932.6666666666666
2019-01-08,962.3888888888889
2019-01-09,961.2777777777778
2019-01-10,989.8333333333334
2019-01-11,1052.8055555555557
2019-01-12,905.0
2019-01-13,848.4166666666666
2019-01-14,1002.1111111111111
2019-01-15,1107.7222222222222
2019-01-16,1000.0555555555555
2019-01-17,966.8333333333334
2019-01-18,941.5
2019-01-19,1056.7222222222222
2019-01-20,859.2777777777778
2019-01-21,870.0555555555555
2019-01-22,907.0555555555555
2019-01-23,944.3888888888889
2019-01-24,915.2777777777778
2019-01-25,976.2777777777778
2019-01-26,1039.0555555555557
2019-01-27,876.7222222222222
2019-01-28,893.1111111111111
2019-01-29,951.1111111111111
2019-01-30,932.6388888888889
2019-01-31,1005.75
2019-02-01,1051.2777777777778
2019-02-02,973.7222222222222
2019-02-03,800.3611111111111
2019-02-04,952.7222222222222
2019-02-05,921.8888888888889
2019-02-06,938.2777777777778
2019-02-07,1246.888888888889
2019-02-08,1091.4166666666667
2019-02-09,914.9444444444445
2019-02-10,861.5277777777778
2019-02-11,943.2222222222222
2019-02-12,955.8333333333334
2019-02-13,1075.5555555555557
2019-02-14,1097.8055555555557
2019-02-15,965.8888888888889
2019-02-16,906.0
2019-02-17,923.0
2019-02-18,832.3888888888889
2019-02-19,980.9444444444445
2019-02-20,980.3333333333334
2019-02-21,977.6111111111111
2019-02-22,946.0833333333334
2019-02-23,997.8888888888889
2019-02-24,869.2777777777778
2019-02-25,1026.6666666666667
2019-02-26,967.7222222222222
2019-02-27,999.5
2019-02-28,1073.611111111111
2019-03-01,974.8888888888889
2019-03-02,954.4444444444445
2019-03-03,796.1111111111111
2019-03-04,929.8888888888889
2019-03-05,1030.8333333333333
2019-03-06,1022.3333333333334
2019-03-07,1011.5555555555555
2019-03-08,951.1666666666666
2019-03-09,901.5
2019-03-10,857.0
2019-03-11,917.6666666666666
2019-03-12,921.1111111111111
2019-03-13,970.4444444444445
2019-03-14,972.7222222222222
2019-03-15,979.8888888888889
2019-03-16,997.6666666666666
2019-03-17,889.1111111111111
2019-03-18,911.3888888888889
2019-03-19,937.0
2019-03-20,985.4166666666666
2019-03-21,962.6666666666666
2019-03-22,1080.1666666666667
2019-03-23,974.3333333333334
2019-03-24,887.5555555555555
2019-03-25,982.1111111111111
2019-03-26,915.0555555555555
2019-03-27,941.1666666666666
2019-03-28,921.2222222222222
2019-03-29,908.6666666666666
2019-03-30,888.4444444444445
2019-03-31,863.3888888888889
2019-04-01,981.8333333333334
2019-04-02,928.0
2019-04-03,937.1111111111111
2019-04-04,911.7777777777778
2019-04-05,938.0
2019-04-06,887.2222222222222
2019-04-07,877.1666666666666
2019-04-08,974.6666666666666
2019-04-09,918.3333333333334
2019-04-10,949.4722222222222
2019-04-11,943.5
2019-04-12,918.7222222222222
2019-04-13,911.0555555555555
2019-04-14,895.1111111111111
2019-04-15,876.8888888888889
2019-04-16,900.7777777777778
2019-04-17,930.1111111111111
2019-04-18,953.7222222222222
2019-04-19,950.3888888888889
2019-04-20,905.3888888888889
2019-04-21,862.5
2019-04-22,918.2222222222222
2019-04-23,934.4444444444445
2019-04-24,942.1666666666666
2019-04-25,969.9444444444445
2019-04-26,980.1388888888889
2019-04-27,933.1111111111111
2019-04-28,858.6111111111111
2019-04-29,881.0
2019-04-30,883.2777777777778
2019-05-01,932.6666666666666
2019-05-02,939.1111111111111
2019-05-03,928.7222222222222
2019-05-04,889.1111111111111
2019-05-05,837.8333333333334
2019-05-06,922.7222222222222
2019-05-07,893.8888888888889
2019-05-08,915.3888888888889
2019-05-09,933.1111111111111
2019-05-10,927.6111111111111
2019-05-11,888.9444444444445
2019-05-12,813.3333333333334
2019-05-13,958.6666666666666
2019-05-14,906.0
2019-05-15,1028.2777777777778
2019-05-16,965.3888888888889
2019-05-17,952.6666666666666
2019-05-18,940.7222222222222
2019-05-19,1161.8333333333333
2019-05-20,933.6666666666666
2019-05-21,906.5
2019-05-22,936.2222222222222
2019-05-23,947.3888888888889
2019-05-24,905.1111111111111
2019-05-25,892.3888888888889
2019-05-26,862.0555555555555
2019-05-27,832.3333333333334
2019-05-28,957.1666666666666
2019-05-29,930.5833333333334
2019-05-30,948.8888888888889
2019-05-31,950.7777777777778
2019-06-01,889.1666666666666
2019-06-02,834.3333333333334
2019-06-03,901.0555555555555
2019-06-04,900.4444444444445
2019-06-05,930.2777777777778
2019-06-06,963.8333333333334
2019-06-07,950.6111111111111
2019-06-08,918.7222222222222
2019-06-09,876.5
2019-06-10,947.0
2019-06-11,1014.7777777777778
2019-06-12,930.5555555555555
2019-06-13,1039.611111111111
2019-06-14,969.3333333333334
2019-06-15,920.5
2019-06-16,855.3333333333334
2019-06-17,915.3888888888889
2019-06-18,997.8333333333334
2019-06-19,918.5555555555555
2019-06-20,953.7222222222222
2019-06-21,974.7222222222222
2019-06-22,933.5
2019-06-23,839.3888888888889
2019-06-24,892.2777777777778
2019-06-25,917.3888888888889
2019-06-26,942.3888888888889
2019-06-27,949.8888888888889
2019-06-28,984.3333333333334
2019-06-29,905.8888888888889
2019-06-30,1032.638888888889
2019-07-01,920.9170425102188
2019-07-02,916.2883556219543
2019-07-03,885.1494020257771
2019-07-04,899.5706185663661
2019-07-05,901.9068760287176
2019-07-06,899.1263251182752
2019-07-07,974.9342043136139
2019-07-08,927.3113530444134
2019-07-09,912.2139845690805
2019-07-10,909.9327110789261
