,Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds),weekday
2438,2019-01-16,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",530.0,344.0,818.0,495.0,337.0,726.0,696.0,479.0,1012.0,521.0,352.0,772.0,471.0,317.0,702.0,297.0,205.0,432.0,2
2439,2019-03-27,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",638.0,344.0,1180.0,1270.0,842.0,1917.0,538.0,372.0,780.0,455.0,313.0,661.0,509.0,304.0,852.0,328.0,195.0,554.0,2
2440,2019-03-18,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",558.0,361.0,864.0,650.0,465.0,907.0,625.0,410.0,951.0,465.0,323.0,668.0,573.0,358.0,916.0,342.0,222.0,526.0,0
2441,2019-03-10,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",410.0,283.0,595.0,,,,373.0,250.0,556.0,425.0,295.0,611.0,381.0,276.0,525.0,485.0,336.0,701.0,6
2442,2019-02-23,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1555.0,1162.0,2080.0,,,,,,,1428.0,1189.0,1715.0,,,,,,,5
2443,2019-02-22,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",876.0,604.0,1271.0,888.0,685.0,1152.0,940.0,682.0,1295.0,937.0,648.0,1353.0,778.0,555.0,1090.0,,,,4
2444,2019-02-21,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",610.0,344.0,1081.0,408.0,294.0,566.0,897.0,547.0,1471.0,786.0,464.0,1331.0,529.0,305.0,916.0,348.0,236.0,512.0,3
2445,2019-03-14,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",533.0,337.0,845.0,578.0,417.0,801.0,590.0,385.0,905.0,584.0,361.0,943.0,422.0,279.0,637.0,311.0,236.0,410.0,3
2446,2019-02-01,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1599.0,1234.0,2071.0,1478.0,1214.0,1800.0,,,,,,,,,,,,,4
2447,2019-01-23,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",473.0,318.0,703.0,426.0,317.0,573.0,671.0,479.0,940.0,475.0,338.0,668.0,421.0,286.0,620.0,264.0,212.0,328.0,2
2448,2019-02-16,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",804.0,557.0,1161.0,573.0,498.0,659.0,815.0,611.0,1086.0,809.0,557.0,1176.0,863.0,541.0,1377.0,,,,5
2449,2019-02-23,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1267.0,782.0,2053.0,,,,1889.0,1464.0,2437.0,1087.0,781.0,1511.0,1393.0,950.0,2044.0,705.0,457.0,1088.0,5
2450,2019-02-20,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1326.0,1006.0,1747.0,,,,1599.0,1122.0,2280.0,,,,1177.0,971.0,1425.0,,,,2
2451,2019-03-12,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",523.0,346.0,790.0,596.0,401.0,883.0,561.0,355.0,885.0,518.0,361.0,743.0,462.0,318.0,670.0,314.0,212.0,462.0,1
2452,2019-01-03,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",435.0,292.0,647.0,461.0,302.0,701.0,467.0,341.0,640.0,446.0,288.0,691.0,389.0,282.0,536.0,,,,3
2453,2019-02-11,3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",741.0,504.0,1091.0,,,,925.0,655.0,1306.0,895.0,579.0,1383.0,632.0,464.0,859.0,537.0,383.0,752.0,0
2454,2019-01-08,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1596.0,1248.0,2043.0,1678.0,1392.0,2022.0,,,,,,,,,,,,,1
2455,2019-03-15,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1570.0,1237.0,1993.0,1541.0,1271.0,1867.0,1641.0,1275.0,2112.0,1754.0,1449.0,2122.0,,,,,,,4
2456,2019-01-27,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",401.0,239.0,672.0,,,,473.0,263.0,849.0,413.0,265.0,642.0,329.0,160.0,678.0,,,,6
2457,2019-01-06,3394,"Fisherman's Wharf, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",797.0,618.0,1027.0,646.0,544.0,768.0,873.0,662.0,1150.0,872.0,690.0,1102.0,738.0,603.0,903.0,633.0,537.0,746.0,6
2458,2019-02-17,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1478.0,1103.0,1981.0,,,,,,,1614.0,1237.0,2106.0,,,,,,,6
